Final Project: Stock Data,,,,,,
,,,,,,
Group,Symbol,Price,ADV,Volatility,LnMktCap,EstReturn %
16,RF,10.39,"15,388,000",0.2162,23.31,0.12
16,RHI,54.83,"920,000",0.2124,22.64,0.10
16,RHT,79.08,"1,624,000",0.2683,23.44,0.15
16,RIG,13.11,"8,391,000",0.3997,22.39,0.19
16,RL,125.89,"931,000",0.2403,23.09,0.11
16,ROK,116.12,"869,000",0.2126,23.34,0.14
16,ROP,167.27,"417,000",0.1738,23.69,0.08
16,ROST,53.03,"3,146,000",0.197,23.79,0.12
16,RRC,39.34,"2,284,000",0.3244,22.37,0.20
16,RSG,42.53,"1,579,000",0.1326,23.45,0.08
16,RTN,109.09,"1,767,000",0.1881,24.37,0.11
16,SBUX,57.77,"8,976,000",0.1826,25.25,0.07
16,SCG,54.21,"844,000",0.1651,22.87,0.07
16,SCHW,34.82,"7,252,000",0.2591,24.51,0.13
16,SE,29.88,"3,459,000",0.1836,23.64,0.13
16,SEE,53.03,"1,901,000",0.2564,22.91,0.17
16,SHW,277.07,"653,000",0.1855,23.98,0.12
16,SIAL,139.38,"716,000",0.2218,23.54,0.10
16,SIG,121.22,"871,000",0.2559,23.11,0.11
16,SJM,111,"656,000",0.1645,23.41,0.11
16,SLB,82.28,"7,015,000",0.2193,25.32,0.13
16,SLG,115.14,"679,000",0.1633,23.18,0.11
16,SNA,164.28,"316,000",0.1755,23.01,0.07
17,SNDK,60.29,"4,021,000",0.3518,23.43,0.22
17,SNI,62.3,"921,000",0.2006,22.73,0.11
17,SO,44.21,"5,046,000",0.1428,24.43,0.06
17,SPG,185.71,"1,401,000",0.1554,24.79,0.09
17,SPLS,14.71,"9,621,000",0.3387,22.79,0.19
17,SRCL,140.97,"388,000",0.136,23.07,0.09
17,SRE,101.78,"1,073,000",0.1587,23.94,0.12
17,STI,44.07,"3,296,000",0.1882,23.82,0.08
17,STJ,73.82,"1,869,000",0.1983,23.6,0.08
17,STT,76.56,"2,354,000",0.2029,24.1,0.12
17,STX,50.07,"3,273,000",0.2725,23.05,0.17
17,STZ,119.72,"1,246,000",0.1903,24.05,0.09
17,SWK,104.9,"1,217,000",0.203,23.52,0.09
17,SWKS,95.4,"3,504,000",0.3423,23.47,0.17
17,SWN,18.6,"5,945,000",0.314,21.98,0.15
17,SYK,102.27,"1,345,000",0.153,24.31,0.08
17,SYMC,22.58,"5,860,000",0.26,23.32,0.17
17,SYY,36.31,"3,710,000",0.1621,23.88,0.07
17,T,34.74,"25,574,000",0.1444,26.05,0.05
17,TAP,71.14,"1,336,000",0.2084,23.56,0.14
17,TDC,37.11,"1,994,000",0.3055,22.1,0.15
17,TE,21.89,"2,289,000",0.1933,22.55,0.08
17,TEL,60.92,"1,759,000",0.1919,23.98,0.10
17,TGNA,28.95,"2,076,000",0.2771,22.56,0.15
17,TGT,81.27,"5,102,000",0.1879,24.53,0.08
18,THC,56.3,"1,774,000",0.338,21.94,0.20
18,TIF,95.7,"1,180,000",0.2523,23.05,0.14
18,TJX,69.61,"3,551,000",0.1978,24.59,0.13
18,TMK,61.61,"647,000",0.1408,22.74,0.08
18,TMO,139.53,"1,801,000",0.1793,24.73,0.07
18,TRIP,79.38,"2,105,000",0.4053,23.2,0.23
18,TROW,77.13,"1,380,000",0.166,23.67,0.10
18,TRV,105.46,"2,060,000",0.1361,24.28,0.09
18,TSCO,92.32,"1,107,000",0.2426,23.23,0.10
18,TSN,44.25,"4,224,000",0.2573,23.62,0.17
18,TSO,96.79,"3,007,000",0.3085,23.38,0.16
18,TSS,46.22,"1,104,000",0.1779,23.05,0.07
18,TWC,190.01,"2,620,000",0.2232,24.68,0.15
18,TWX,87.61,"5,085,000",0.2367,24.75,0.12
18,TXN,49.98,"6,007,000",0.1994,24.8,0.10
18,TXT,43.7,"1,959,000",0.258,23.2,0.16
18,TYC,37.99,"2,904,000",0.1746,23.42,0.11
18,UA,99.33,"2,625,000",0.3304,23.71,0.19
18,UAL,56.39,"5,781,000",0.4079,23.78,0.24
18,UHS,145.13,"800,000",0.2356,23.16,0.13
18,UNH,121.4,"4,273,000",0.1994,25.4,0.11
18,UNM,35.84,"1,550,000",0.195,22.91,0.08
18,UNP,96.95,"4,140,000",0.1945,25.01,0.13
18,UPS,101.63,"3,090,000",0.1537,25.25,0.08
18,URBN,32.62,"2,274,000",0.3148,21.81,0.19
